LONG / CV,E,P,GN,BIO,A,HOU
2024,2.03987e+07,0,0,0,0,0
2025,2.02369e+07,0,0,0,0,0
2026,2.00744e+07,0,0,0,0,0
2027,1.99113e+07,0,0,0,0,0
2028,1.97889e+07,0,0,0,0,0
2029,1.96666e+07,0,0,0,0,0
2030,1.70393e+07,0,0,0,0,0
2031,1.70706e+07,0,0,0,0,0
2032,1.7102e+07,0,0,0,0,0
2033,1.71333e+07,0,0,0,0,0
2034,1.71647e+07,0,0,0,0,0
2035,1.7196e+07,0,0,0,0,0
IMPGN,E,P,GN,BIO,A,HOU
2015,0,0,6.23254e+06,0,0,0
2016,0,0,5.54761e+06,0,0,0
2017,0,0,5.16992e+06,0,0,0
2018,0,0,5.07351e+06,0,0,0
2019,0,0,5.01016e+06,0,0,0
2020,0,0,4.97365e+06,0,0,0
2021,0,0,4.93701e+06,0,0,0
2022,0,0,4.90022e+06,0,0,0
2023,0,0,4.86358e+06,0,0,0
2024,0,0,4.82914e+06,0,0,0
2025,0,0,4.79448e+06,0,0,0
2026,0,0,4.75959e+06,0,0,0
2027,0,0,4.72446e+06,0,0,0
2028,0,0,4.69612e+06,0,0,0
2029,0,0,4.66994e+06,0,0,0
2030,0,0,4.05183e+06,0,0,0
2031,0,0,4.05832e+06,0,0,0
2032,0,0,4.0648e+06,0,0,0
2033,0,0,4.07129e+06,0,0,0
2034,0,0,4.07779e+06,0,0,0
2035,0,0,4.08427e+06,0,0,0
IMPBIO,E,P,GN,BIO,A,HOU
2015,0,0,0,6.69752e+06,0,0
2016,0,0,0,5.94425e+06,0,0
2017,0,0,0,5.51033e+06,0,0
2018,0,0,0,5.38164e+06,0,0
2019,0,0,0,5.28716e+06,0,0
2020,0,0,0,5.22059e+06,0,0
2021,0,0,0,5.15451e+06,0,0
2022,0,0,0,5.08889e+06,0,0
2023,0,0,0,5.02812e+06,0,0
2024,0,0,0,5.00023e+06,0,0
2025,0,0,0,4.97192e+06,0,0
2026,0,0,0,4.94321e+06,0,0
2027,0,0,0,4.91407e+06,0,0
2028,0,0,0,4.88567e+06,0,0
2029,0,0,0,4.86531e+06,0,0
2030,0,0,0,4.24444e+06,0,0
2031,0,0,0,4.24784e+06,0,0
2032,0,0,0,4.25125e+06,0,0
2033,0,0,0,4.25466e+06,0,0
2034,0,0,0,4.25808e+06,0,0
2035,0,0,0,4.26148e+06,0,0
IMPA,E,P,GN,BIO,A,HOU
2015,0,0,0,0,324126,0
2016,0,0,0,0,285328,0
2017,0,0,0,0,264166,0
2018,0,0,0,0,259938,0
2019,0,0,0,0,257544,0
2020,0,0,0,0,256636,0
2021,0,0,0,0,255698,0
2022,0,0,0,0,254730,0
2023,0,0,0,0,253589,0
2024,0,0,0,0,251351,0
2025,0,0,0,0,249111,0
2026,0,0,0,0,246870,0
2027,0,0,0,0,244626,0
2028,0,0,0,0,243063,0
2029,0,0,0,0,241405,0
2030,0,0,0,0,209156,0
2031,0,0,0,0,209557,0
2032,0,0,0,0,209958,0
2033,0,0,0,0,210360,0
2034,0,0,0,0,210762,0
2035,0,0,0,0,211163,0
LAV / CV,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,0
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,0,0,0,0,0,0
2024,0,0,0,0,0,0
2025,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
