LONG / CV,E,P,GN,BIO,A,HOU
2032,0,0,0,1.00781e+07,0,0
2033,0,0,0,9.99484e+06,0,0
2034,0,0,0,9.91106e+06,0,0
2035,0,0,0,9.82674e+06,0,0
IMPA,E,P,GN,BIO,A,HOU
2015,0,0,0,0,601060,0
2016,0,0,0,0,493361,0
2017,0,0,0,0,448231,0
2018,0,0,0,0,439602,0
2019,0,0,0,0,437533,0
2020,0,0,0,0,435451,0
2021,0,0,0,0,433354,0
2022,0,0,0,0,433043,0
2023,0,0,0,0,432219,0
2024,0,0,0,0,431247,0
2025,0,0,0,0,430232,0
2026,0,0,0,0,429173,0
2027,0,0,0,0,428068,0
2028,0,0,0,0,426917,0
2029,0,0,0,0,425719,0
2030,0,0,0,0,424472,0
2031,0,0,0,0,423981,0
2032,0,0,0,0,424503,0
2033,0,0,0,0,424947,0
2034,0,0,0,0,425313,0
2035,0,0,0,0,425600,0
CS / CV,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,0
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,0,0,0,0,0,0
2024,0,0,0,0,0,0
2025,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
2029,0,0,0,0,0,0
2030,0,0,0,0,0,0
2031,0,0,0,0,0,0
2032,0,0,0,0,0,0
2033,0,0,0,0,0,0
2034,0,0,0,0,0,0
2035,0,0,0,0,0,0
BF,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,200094
2016,0,0,0,0,0,200094
2017,0,0,0,0,0,205555
2018,0,0,0,0,0,223907
2019,0,0,0,0,0,235218
2020,0,0,0,0,0,240571
2021,0,0,0,0,0,245167
2022,0,0,0,0,0,249806
2023,0,0,0,0,0,254488
2024,0,0,0,0,0,259214
2025,0,0,0,0,0,260126
2026,0,0,0,0,0,260126
2027,0,0,0,0,0,260126
2028,0,0,0,0,0,260126
2029,0,0,0,0,0,260126
2030,0,0,0,0,0,260126
2031,0,0,0,0,0,260126
2032,0,0,0,0,0,260126
2033,0,0,0,0,0,260126
2034,0,0,0,0,0,260126
2035,0,0,0,0,0,260126
BM,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,128828
2016,0,0,0,0,0,157322
2017,0,0,0,0,0,167482
2018,0,0,0,0,0,167482
2019,0,0,0,0,0,167482
2020,0,0,0,0,0,167482
2021,0,0,0,0,0,167482
2022,0,0,0,0,0,167482
2023,0,0,0,0,0,167482
2024,0,0,0,0,0,167482
2025,0,0,0,0,0,167482
2026,0,0,0,0,0,167482
2027,0,0,0,0,0,167482
2028,0,0,0,0,0,167482
2029,0,0,0,0,0,167482
2030,0,0,0,0,0,167482
2031,0,0,0,0,0,167482
2032,0,0,0,0,0,167482
2033,0,0,0,0,0,167482
2034,0,0,0,0,0,167482
2035,0,0,0,0,0,167482
BD,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,0
2016,0,0,0,0,0,15329.8
2017,0,0,0,0,0,38078
2018,0,0,0,0,0,25016.4
2019,0,0,0,0,0,19039
2020,0,0,0,0,0,19039
2021,0,0,0,0,0,19039
2022,0,0,0,0,0,19039
2023,0,0,0,0,0,19039
2024,0,0,0,0,0,19039
2025,0,0,0,0,0,23027
2026,0,0,0,0,0,28004.6
2027,0,0,0,0,0,33027.7
2028,0,0,0,0,0,37969.6
2029,0,0,0,0,0,42919.6
2030,0,0,0,0,0,47914.6
2031,0,0,0,0,0,52956.6
2032,0,0,0,0,0,58045.6
2033,0,0,0,0,0,63181.6
2034,0,0,0,0,0,68365.6
2035,0,0,0,0,0,68365.6
IND,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,5558.66
2016,0,0,0,0,0,1945.3
2017,0,0,0,0,0,1945.3
2018,0,0,0,0,0,1945.3
2019,0,0,0,0,0,1945.3
2020,0,0,0,0,0,1945.3
2021,0,0,0,0,0,1945.3
2022,0,0,0,0,0,1945.3
2023,0,0,0,0,0,1945.3
2024,0,0,0,0,0,1945.3
2025,0,0,0,0,0,1945.3
2026,0,0,0,0,0,1945.3
2027,0,0,0,0,0,1945.3
2028,0,0,0,0,0,1945.3
2029,0,0,0,0,0,1945.3
2030,0,0,0,0,0,1945.3
2031,0,0,0,0,0,1945.3
2032,0,0,0,0,0,1945.3
2033,0,0,0,0,0,1945.3
2034,0,0,0,0,0,1945.3
2035,0,0,0,0,0,1945.3
AGR,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,137365
2016,0,0,0,0,0,101549
2017,0,0,0,0,0,67609.4
2018,0,0,0,0,0,66788.4
2019,0,0,0,0,0,65967.3
2020,0,0,0,0,0,65168.1
2021,0,0,0,0,0,65168.1
2022,0,0,0,0,0,65168.1
2023,0,0,0,0,0,65168.1
2024,0,0,0,0,0,65168.1
2025,0,0,0,0,0,65037
2026,0,0,0,0,0,64873.4
2027,0,0,0,0,0,64708.3
2028,0,0,0,0,0,64670.4
2029,0,0,0,0,0,64670.4
2030,0,0,0,0,0,64670.4
2031,0,0,0,0,0,64670.4
2032,0,0,0,0,0,64670.4
2033,0,0,0,0,0,64670.4
2034,0,0,0,0,0,64670.4
2035,0,0,0,0,0,69902.4
DUMMYHOUSE,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,6.89102
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,0,0,0,0,0,0
2024,0,0,0,0,0,0
2025,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
2029,0,0,0,0,0,0
2030,0,0,0,0,0,0
2031,0,0,0,0,0,0
2032,0,0,0,0,0,0
2033,0,0,0,0,0,0
2034,0,0,0,0,0,0
2035,0,0,0,0,0,0
IMPP,E,P,GN,BIO,A,HOU
2015,0,9.20259e+06,0,0,0,0
2016,0,6.27746e+06,0,0,0,0
2017,0,5.2311e+06,0,0,0,0
2018,0,5.17592e+06,0,0,0,0
2019,0,5.12145e+06,0,0,0,0
2020,0,5.06823e+06,0,0,0,0
2021,0,5.03772e+06,0,0,0,0
2022,0,5.00693e+06,0,0,0,0
2023,0,4.97586e+06,0,0,0,0
2024,0,4.94451e+06,0,0,0,0
2025,0,4.90958e+06,0,0,0,0
2026,0,4.87362e+06,0,0,0,0
2027,0,4.83741e+06,0,0,0,0
2028,0,4.8043e+06,0,0,0,0
2029,0,4.77188e+06,0,0,0,0
2030,0,4.73913e+06,0,0,0,0
2031,0,4.70605e+06,0,0,0,0
2032,0,4.67264e+06,0,0,0,0
2033,0,4.6389e+06,0,0,0,0
2034,0,4.60481e+06,0,0,0,0
2035,0,4.69545e+06,0,0,0,0
IMPE,E,P,GN,BIO,A,HOU
2015,4.16524e+07,0,0,0,0,0
2016,3.1915e+07,0,0,0,0,0
2017,2.87395e+07,0,0,0,0,0
2018,2.83696e+07,0,0,0,0,0
2019,2.80971e+07,0,0,0,0,0
2020,2.79067e+07,0,0,0,0,0
2021,2.779e+07,0,0,0,0,0
2022,2.76711e+07,0,0,0,0,0
2023,2.75501e+07,0,0,0,0,0
2024,2.74268e+07,0,0,0,0,0
2025,2.73394e+07,0,0,0,0,0
2026,2.72582e+07,0,0,0,0,0
2027,2.7174e+07,0,0,0,0,0
2028,2.70964e+07,0,0,0,0,0
2029,2.70184e+07,0,0,0,0,0
2030,2.69371e+07,0,0,0,0,0
2031,2.68524e+07,0,0,0,0,0
2032,2.67644e+07,0,0,0,0,0
2033,2.66729e+07,0,0,0,0,0
2034,2.65779e+07,0,0,0,0,0
2035,2.6835e+07,0,0,0,0,0
IMPGN,E,P,GN,BIO,A,HOU
2015,0,0,1.57356e+07,0,0,0
2016,0,0,1.09361e+07,0,0,0
2017,0,0,9.38056e+06,0,0,0
2018,0,0,9.188e+06,0,0,0
2019,0,0,9.05251e+06,0,0,0
2020,0,0,8.96495e+06,0,0,0
2021,0,0,8.91458e+06,0,0,0
2022,0,0,8.86368e+06,0,0,0
2023,0,0,8.81224e+06,0,0,0
2024,0,0,8.76025e+06,0,0,0
2025,0,0,8.73075e+06,0,0,0
2026,0,0,8.70583e+06,0,0,0
2027,0,0,8.67994e+06,0,0,0
2028,0,0,8.6577e+06,0,0,0
2029,0,0,8.63576e+06,0,0,0
2030,0,0,8.61271e+06,0,0,0
2031,0,0,8.58857e+06,0,0,0
2032,0,0,8.56329e+06,0,0,0
2033,0,0,8.53687e+06,0,0,0
2034,0,0,8.50928e+06,0,0,0
2035,0,0,8.65257e+06,0,0,0
IMPBIO,E,P,GN,BIO,A,HOU
2015,0,0,0,1.32211e+07,0,0
2016,0,0,0,1.01286e+07,0,0
2017,0,0,0,9.01333e+06,0,0
2018,0,0,0,9.04777e+06,0,0
2019,0,0,0,9.03378e+06,0,0
2020,0,0,0,8.98054e+06,0,0
2021,0,0,0,8.9475e+06,0,0
2022,0,0,0,8.91371e+06,0,0
2023,0,0,0,8.87917e+06,0,0
2024,0,0,0,8.84386e+06,0,0
2025,0,0,0,8.78006e+06,0,0
2026,0,0,0,8.7093e+06,0,0
2027,0,0,0,8.63817e+06,0,0
2028,0,0,0,8.57051e+06,0,0
2029,0,0,0,8.50354e+06,0,0
2030,0,0,0,8.43613e+06,0,0
2031,0,0,0,8.36827e+06,0,0
2032,0,0,0,8.29996e+06,0,0
2033,0,0,0,8.23117e+06,0,0
2034,0,0,0,8.16191e+06,0,0
2035,0,0,0,8.23484e+06,0,0
IMPA,E,P,GN,BIO,A,HOU
2015,0,0,0,0,427572,0
2016,0,0,0,0,369740,0
2017,0,0,0,0,338207,0
2018,0,0,0,0,329472,0
2019,0,0,0,0,324468,0
2020,0,0,0,0,322549,0
2021,0,0,0,0,321530,0
2022,0,0,0,0,320481,0
2023,0,0,0,0,319404,0
2024,0,0,0,0,318297,0
2025,0,0,0,0,318916,0
2026,0,0,0,0,319897,0
2027,0,0,0,0,320817,0
2028,0,0,0,0,321753,0
2029,0,0,0,0,322648,0
2030,0,0,0,0,323478,0
2031,0,0,0,0,324242,0
2032,0,0,0,0,324940,0
2033,0,0,0,0,325569,0
2034,0,0,0,0,326130,0
2035,0,0,0,0,329465,0
MTL / CV,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,15913.5
2016,0,0,0,0,0,15913.5
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,0,0,0,0,0,0
2024,0,0,0,0,0,0
2025,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
2029,0,0,0,0,0,0
2030,0,0,0,0,0,0
2031,0,0,0,0,0,0
2032,0,0,0,0,0,0
2033,0,0,0,0,0,0
2034,0,0,0,0,0,0
2035,0,0,0,0,0,0
BF,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,230779
2016,0,0,0,0,0,230779
2017,0,0,0,0,0,230779
2018,0,0,0,0,0,219649
2019,0,0,0,0,0,199853
2020,0,0,0,0,0,180112
2021,0,0,0,0,0,160426
2022,0,0,0,0,0,140798
2023,0,0,0,0,0,121305
2024,0,0,0,0,0,115389
2025,0,0,0,0,0,115389
2026,0,0,0,0,0,115138
2027,0,0,0,0,0,108687
2028,0,0,0,0,0,102235
2029,0,0,0,0,0,98713
2030,0,0,0,0,0,95487.1
2031,0,0,0,0,0,95487.1
2032,0,0,0,0,0,95487.1
2033,0,0,0,0,0,95487.1
2034,0,0,0,0,0,95487.1
2035,0,0,0,0,0,95487.1
BM,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,920318
2016,0,0,0,0,0,945160
2017,0,0,0,0,0,976164
2018,0,0,0,0,0,1.00717e+06
2019,0,0,0,0,0,1.03817e+06
2020,0,0,0,0,0,1.06918e+06
2021,0,0,0,0,0,1.10018e+06
2022,0,0,0,0,0,1.13118e+06
2023,0,0,0,0,0,1.16219e+06
2024,0,0,0,0,0,1.19319e+06
2025,0,0,0,0,0,1.19644e+06
2026,0,0,0,0,0,1.19644e+06
2027,0,0,0,0,0,1.19644e+06
2028,0,0,0,0,0,1.19644e+06
2029,0,0,0,0,0,1.19644e+06
2030,0,0,0,0,0,1.19644e+06
2031,0,0,0,0,0,1.19644e+06
2032,0,0,0,0,0,1.19644e+06
2033,0,0,0,0,0,1.19644e+06
2034,0,0,0,0,0,1.19644e+06
2035,0,0,0,0,0,1.19644e+06
BD,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,645684
2016,0,0,0,0,0,653175
2017,0,0,0,0,0,653175
2018,0,0,0,0,0,653175
2019,0,0,0,0,0,653175
2020,0,0,0,0,0,653175
2021,0,0,0,0,0,653175
2022,0,0,0,0,0,653175
2023,0,0,0,0,0,653175
2024,0,0,0,0,0,639938
2025,0,0,0,0,0,648596
2026,0,0,0,0,0,660765
2027,0,0,0,0,0,677998
2028,0,0,0,0,0,695289
2029,0,0,0,0,0,709708
2030,0,0,0,0,0,603883
2031,0,0,0,0,0,629462
2032,0,0,0,0,0,655657
2033,0,0,0,0,0,682492
2034,0,0,0,0,0,709989
2035,0,0,0,0,0,738174
IND,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,42561
2016,0,0,0,0,0,20399.9
2017,0,0,0,0,0,19987.2
2018,0,0,0,0,0,19106.7
2019,0,0,0,0,0,18226.1
2020,0,0,0,0,0,17345.6
2021,0,0,0,0,0,16465
2022,0,0,0,0,0,15584.4
2023,0,0,0,0,0,14896.3
2024,0,0,0,0,0,14896.3
2025,0,0,0,0,0,14896.3
2026,0,0,0,0,0,14896.3
2027,0,0,0,0,0,14896.3
2028,0,0,0,0,0,14896.3
2029,0,0,0,0,0,14896.3
2030,0,0,0,0,0,14896.3
2031,0,0,0,0,0,14896.3
2032,0,0,0,0,0,14896.3
2033,0,0,0,0,0,14896.3
2034,0,0,0,0,0,14896.3
2035,0,0,0,0,0,14896.3
AGR,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,26370.3
2016,0,0,0,0,0,26370.3
2017,0,0,0,0,0,21908.6
2018,0,0,0,0,0,13185.1
2019,0,0,0,0,0,13185.1
2020,0,0,0,0,0,13185.1
2021,0,0,0,0,0,13185.1
2022,0,0,0,0,0,13185.1
2023,0,0,0,0,0,12913.3
2024,0,0,0,0,0,11669.4
2025,0,0,0,0,0,10425.6
2026,0,0,0,0,0,9230.2
2027,0,0,0,0,0,9230.2
2028,0,0,0,0,0,9230.2
2029,0,0,0,0,0,9230.2
2030,0,0,0,0,0,9230.2
2031,0,0,0,0,0,9230.2
2032,0,0,0,0,0,9230.2
2033,0,0,0,0,0,9230.2
2034,0,0,0,0,0,9230.2
2035,0,0,0,0,0,9230.2
DUMMYHOUSE,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,10.3273
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,0,0,0,0,0,0
2024,0,0,0,0,0,0
2025,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
2029,0,0,0,0,0,0
2030,0,0,0,0,0,120008
2031,0,0,0,0,0,105444
2032,0,0,0,0,0,90325.3
2033,0,0,0,0,0,74625.6
2034,0,0,0,0,0,58323.6
2035,0,0,0,0,0,41393.2
IMPP,E,P,GN,BIO,A,HOU
2015,0,1.60558e+07,0,0,0,0
2016,0,1.1472e+07,0,0,0,0
2017,0,1.11222e+07,0,0,0,0
2018,0,1.0751e+07,0,0,0,0
2019,0,1.04615e+07,0,0,0,0
2020,0,1.01759e+07,0,0,0,0
2021,0,9.8944e+06,0,0,0,0
2022,0,9.61685e+06,0,0,0,0
2023,0,9.37665e+06,0,0,0,0
2024,0,9.27058e+06,0,0,0,0
2025,0,9.19368e+06,0,0,0,0
2026,0,9.11932e+06,0,0,0,0
2027,0,9.04942e+06,0,0,0,0
2028,0,8.97898e+06,0,0,0,0
2029,0,8.91069e+06,0,0,0,0
2030,0,8.4269e+06,0,0,0,0
2031,0,8.41521e+06,0,0,0,0
2032,0,8.40351e+06,0,0,0,0
2033,0,8.39182e+06,0,0,0,0
2034,0,8.38013e+06,0,0,0,0
2035,0,8.36844e+06,0,0,0,0
IMPE,E,P,GN,BIO,A,HOU
2015,1.07269e+08,0,0,0,0,0
2016,8.97657e+07,0,0,0,0,0
2017,8.63203e+07,0,0,0,0,0
2018,8.44619e+07,0,0,0,0,0
2019,8.31219e+07,0,0,0,0,0
2020,8.17939e+07,0,0,0,0,0
2021,8.04778e+07,0,0,0,0,0
2022,7.91736e+07,0,0,0,0,0
2023,7.80008e+07,0,0,0,0,0
2024,7.72632e+07,0,0,0,0,0
2025,7.67244e+07,0,0,0,0,0
2026,7.62063e+07,0,0,0,0,0
2027,7.5744e+07,0,0,0,0,0
2028,7.52748e+07,0,0,0,0,0
2029,7.47994e+07,0,0,0,0,0
2030,7.00656e+07,0,0,0,0,0
2031,7.01368e+07,0,0,0,0,0
2032,7.0208e+07,0,0,0,0,0
2033,7.02793e+07,0,0,0,0,0
2034,7.03505e+07,0,0,0,0,0
2035,7.04217e+07,0,0,0,0,0
IMPGN,E,P,GN,BIO,A,HOU
2015,0,0,3.99174e+07,0,0,0
2016,0,0,3.08968e+07,0,0,0
2017,0,0,2.8825e+07,0,0,0
2018,0,0,2.78974e+07,0,0,0
2019,0,0,2.73386e+07,0,0,0
2020,0,0,2.67859e+07,0,0,0
2021,0,0,2.62393e+07,0,0,0
2022,0,0,2.5699e+07,0,0,0
2023,0,0,2.52245e+07,0,0,0
2024,0,0,2.49217e+07,0,0,0
2025,0,0,2.47231e+07,0,0,0
2026,0,0,2.45402e+07,0,0,0
2027,0,0,2.44169e+07,0,0,0
2028,0,0,2.42909e+07,0,0,0
2029,0,0,2.41527e+07,0,0,0
2030,0,0,2.25982e+07,0,0,0
2031,0,0,2.263e+07,0,0,0
2032,0,0,2.26617e+07,0,0,0
2033,0,0,2.26934e+07,0,0,0
2034,0,0,2.27251e+07,0,0,0
2035,0,0,2.27569e+07,0,0,0
IMPBIO,E,P,GN,BIO,A,HOU
2015,0,0,0,2.29465e+07,0,0
2016,0,0,0,1.80645e+07,0,0
2017,0,0,0,1.78199e+07,0,0
2018,0,0,0,1.73584e+07,0,0
2019,0,0,0,1.69383e+07,0,0
2020,0,0,0,1.6524e+07,0,0
2021,0,0,0,1.61153e+07,0,0
2022,0,0,0,1.57124e+07,0,0
2023,0,0,0,1.5351e+07,0,0
2024,0,0,0,1.52148e+07,0,0
2025,0,0,0,1.50915e+07,0,0
2026,0,0,0,1.49632e+07,0,0
2027,0,0,0,1.48043e+07,0,0
2028,0,0,0,1.46455e+07,0,0
2029,0,0,0,1.45064e+07,0,0
2030,0,0,0,1.37942e+07,0,0
2031,0,0,0,1.3753e+07,0,0
2032,0,0,0,1.37117e+07,0,0
2033,0,0,0,1.36705e+07,0,0
2034,0,0,0,1.36292e+07,0,0
2035,0,0,0,1.3588e+07,0,0
IMPA,E,P,GN,BIO,A,HOU
2015,0,0,0,0,1.69474e+06,0
2016,0,0,0,0,1.53364e+06,0
2017,0,0,0,0,1.39448e+06,0
2018,0,0,0,0,1.35936e+06,0
2019,0,0,0,0,1.34555e+06,0
2020,0,0,0,0,1.33176e+06,0
2021,0,0,0,0,1.318e+06,0
2022,0,0,0,0,1.30426e+06,0
2023,0,0,0,0,1.29115e+06,0
2024,0,0,0,0,1.27677e+06,0
2025,0,0,0,0,1.26738e+06,0
2026,0,0,0,0,1.25884e+06,0
2027,0,0,0,0,1.25409e+06,0
2028,0,0,0,0,1.24917e+06,0
2029,0,0,0,0,1.24336e+06,0
2030,0,0,0,0,1.15367e+06,0
2031,0,0,0,0,1.15771e+06,0
2032,0,0,0,0,1.16176e+06,0
2033,0,0,0,0,1.16581e+06,0
2034,0,0,0,0,1.16986e+06,0
2035,0,0,0,0,1.17391e+06,0
