LONG,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2018,2.66,0,0,0,12.3592,0,0,0,0,0,0,0
2019,2.66,0,0,0,17.3656,0,0,0,0,0,0,0
2020,2.66,0,0,0,22.372,0,0,0,0,0,0,0
2021,2.66,0,0,0,27.3784,0,0,0,0,0,0,0
2022,2.66,0,0,0,32.3848,0,0,0,0,0,0,0
2023,2.66,0,0,0,36.2969,1.09428,0,0,0,0,0,0
2024,2.66,0,0,0,36.2969,6.10068,0,0,0,0,0,0
2025,2.66,0,0,0,36.2969,11.1071,0,0,0,0,0,0
2026,2.66,0.194913,0,0,36.2969,15.9186,0,0,0,0,0,0
2027,2.66,5.20131,0,0,36.2969,15.9186,0,0,0,0,0,0
2028,2.66,10.2077,0,0,36.2969,15.9186,0,0,0,0,0,0
2029,2.66,12.9406,2.27349,0,36.2969,15.9186,0,0,0,0,0,0
2030,2.66,15.4438,4.77669,0,36.2969,15.9186,0,0,0,0,0,0
2031,2.66,15.4438,4.77669,0,36.2969,15.9186,0,0,0,0,0,0
2032,2.66,15.4438,4.77669,0,36.2969,15.9186,0,0,0,0,0,0
2033,2.66,15.4438,4.77669,0,36.2969,15.9186,0,0,0,0,0,0
2034,2.66,15.4438,4.77669,0,36.2969,15.9186,0,0,0,0,0,0
2035,2.66,15.4438,4.77669,0,36.2969,15.9186,0,0,0,0,0,0
