LONG,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2021,0,189.538,91.5314,6.75655,14.8058,493.825,0,6.54091e+06,3.59415e+07,1.24435e+07,1.06756e+07,433354
2022,0,190.929,91.5314,8.10868,14.8058,488.426,0,6.46502e+06,3.57152e+07,1.23418e+07,1.0573e+07,433043
2023,0,195.707,91.5314,8.21717,14.8058,488.317,0,6.42291e+06,3.55627e+07,1.22722e+07,1.05297e+07,432219
2024,0,200.861,91.5314,8.21717,14.8058,488.317,0,6.38118e+06,3.54063e+07,1.22009e+07,1.04886e+07,431247
2025,0,206.068,91.5314,8.21717,14.8058,488.317,0,6.33912e+06,3.52472e+07,1.21289e+07,1.04466e+07,430232
2026,0,211.33,91.5314,8.21717,14.8058,488.317,0,6.29673e+06,3.50854e+07,1.20562e+07,1.04037e+07,429173
2027,0,216.646,91.5314,8.21717,14.8058,488.317,0,6.254e+06,3.49207e+07,1.19827e+07,1.03599e+07,428068
2028,0,222.017,91.5314,8.21717,14.8058,488.317,0,6.21091e+06,3.47532e+07,1.19084e+07,1.03152e+07,426917
2029,0,227.445,91.5314,8.21717,14.8058,488.317,0,6.16747e+06,3.45828e+07,1.18334e+07,1.02696e+07,425719
2030,0,232.929,91.5314,8.21717,14.8058,488.317,0,6.12367e+06,3.44094e+07,1.17575e+07,1.02231e+07,424472
2031,0,236.099,91.5314,8.99282,14.8058,488.317,0,6.07942e+06,3.42566e+07,1.16948e+07,1.01608e+07,423981
2032,0,236.099,91.5314,10.8245,14.8058,488.317,0,6.03468e+06,3.41318e+07,1.16496e+07,1.00781e+07,424503
2033,0,236.099,91.5314,12.675,14.8058,488.317,0,5.98956e+06,3.40031e+07,1.16031e+07,9.99484e+06,424947
2034,0,236.099,91.5314,14.5449,14.8058,488.317,0,5.94405e+06,3.38704e+07,1.15553e+07,9.91106e+06,425313
2035,0,236.099,91.5314,16.4343,14.8058,488.317,0,5.89815e+06,3.37336e+07,1.15062e+07,9.82674e+06,425600
CS,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2015,0,160.47,46.13,0,34,1231.24,6.89102,9.20259e+06,4.16524e+07,1.57356e+07,1.32211e+07,427572
2016,0,160.47,56.3328,4.51559,11.8986,910.218,0,6.27746e+06,3.1915e+07,1.09361e+07,1.01286e+07,369740
2017,0,164.85,59.9707,11.2163,11.8986,606.003,0,5.2311e+06,2.87395e+07,9.38056e+06,9.01333e+06,338207
2018,0,179.568,59.9707,7.36888,11.8986,598.644,0,5.17592e+06,2.83696e+07,9.188e+06,9.04777e+06,329472
2019,0,188.639,59.9707,5.60817,11.8986,591.285,0,5.12145e+06,2.80971e+07,9.05251e+06,9.03378e+06,324468
2020,0,192.932,59.9707,5.60817,11.8986,584.121,0,5.06823e+06,2.79067e+07,8.96495e+06,8.98054e+06,322549
2021,0,196.618,59.9707,5.60817,11.8986,584.121,0,5.03772e+06,2.779e+07,8.91458e+06,8.9475e+06,321530
2022,0,200.338,59.9707,5.60817,11.8986,584.121,0,5.00693e+06,2.76711e+07,8.86368e+06,8.91371e+06,320481
2023,0,204.093,59.9707,5.60817,11.8986,584.121,0,4.97586e+06,2.75501e+07,8.81224e+06,8.87917e+06,319404
2024,0,207.883,59.9707,5.60817,11.8986,584.121,0,4.94451e+06,2.74268e+07,8.76025e+06,8.84386e+06,318297
2025,0,208.615,59.9707,6.78289,11.8986,582.946,0,4.90958e+06,2.73394e+07,8.73075e+06,8.78006e+06,318916
2026,0,208.615,59.9707,8.24909,11.8986,581.48,0,4.87362e+06,2.72582e+07,8.70583e+06,8.7093e+06,319897
2027,0,208.615,59.9707,9.7287,11.8986,580,0,4.83741e+06,2.7174e+07,8.67994e+06,8.63817e+06,320817
2028,0,208.615,59.9707,11.1844,11.8986,579.66,0,4.8043e+06,2.70964e+07,8.6577e+06,8.57051e+06,321753
2029,0,208.615,59.9707,12.6425,11.8986,579.66,0,4.77188e+06,2.70184e+07,8.63576e+06,8.50354e+06,322648
2030,0,208.615,59.9707,14.1138,11.8986,579.66,0,4.73913e+06,2.69371e+07,8.61271e+06,8.43613e+06,323478
2031,0,208.615,59.9707,15.599,11.8986,579.66,0,4.70605e+06,2.68524e+07,8.58857e+06,8.36827e+06,324242
2032,0,208.615,59.9707,17.098,11.8986,579.66,0,4.67264e+06,2.67644e+07,8.56329e+06,8.29996e+06,324940
2033,0,208.615,59.9707,18.6109,11.8986,579.66,0,4.6389e+06,2.66729e+07,8.53687e+06,8.23117e+06,325569
2034,0,208.615,59.9707,20.1379,11.8986,579.66,0,4.60481e+06,2.65779e+07,8.50928e+06,8.16191e+06,326130
2035,0,208.615,59.9707,20.1379,11.8986,626.556,0,4.69545e+06,2.6835e+07,8.65257e+06,8.23484e+06,329465
