LONG,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2034,0,52.1639,97.1475,0,0,132.579,49713.2,2.75146e+06,1.71647e+07,4.07779e+06,4.25808e+06,210762
2035,0,52.1639,97.1475,0,0,132.579,46295.2,2.74333e+06,1.7196e+07,4.08427e+06,4.26148e+06,211163
LAV,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2015,0,45.77,79.44,0,33.48,88.77,6.395,3.60527e+06,2.23399e+07,7.06757e+06,6.35983e+06,254901
2016,0,45.77,81.9146,0,31.0054,88.77,0,3.26365e+06,2.10501e+07,6.36991e+06,6.02353e+06,241330
2017,0,45.77,84.3892,0,28.5308,88.77,0,2.93086e+06,1.97928e+07,5.69029e+06,5.69572e+06,228096
2018,0,45.77,86.8638,0,26.0562,88.77,0,2.60741e+06,1.85701e+07,5.02977e+06,5.37699e+06,215220
2019,0,45.77,89.3384,0,23.5816,88.77,0,2.38856e+06,1.77531e+07,4.57727e+06,5.16557e+06,205625
2020,0,45.77,91.813,0,23.4388,86.4382,0,2.34215e+06,1.76061e+07,4.46733e+06,5.13043e+06,201391
2021,0,45.77,94.2876,0,23.4388,83.9636,0,2.29991e+06,1.74735e+07,4.36623e+06,5.09751e+06,197354
2022,0,45.77,96.7622,0,23.4388,81.489,0,2.25855e+06,1.73424e+07,4.26742e+06,5.06344e+06,193412
2023,0,47.5533,97.4535,0,23.4388,79.0144,0,2.2472e+06,1.72857e+07,4.24052e+06,5.05411e+06,192426
2024,0,49.4051,98.0763,0,23.4388,76.5398,0,2.23718e+06,1.72317e+07,4.217e+06,5.04542e+06,191578
2025,0,51.2341,98.7219,0,23.4388,74.0652,0,2.22699e+06,1.71765e+07,4.19327e+06,5.03606e+06,190722
2026,0,53.0407,99.3899,0,23.4388,71.5906,0,2.21663e+06,1.712e+07,4.16933e+06,5.02601e+06,189857
2027,0,54.8236,100.082,0,23.4388,69.116,0,2.20609e+06,1.70624e+07,4.14517e+06,5.01528e+06,188983
